광역시도,시군구별,시점,항목,지역내총생산시장가격,순생산물세,총부가가치기초가격,농림어업,광업,제조업,전기가스증기및공기조절공급업,건설업,도소매업,운수및창고업,숙박및음식점업,정보통신업,금융보험업,부동산업,사업서비스업,공공행정국방및사회보장,교육서비스업,보건및사회복지서비스업,문화및기타서비스업
충청북도,괴산군,2021,2015년 기준년가격(연쇄),1346904,75444,1272551,239411,2952,265042,-2491,71366,43154,22507,15859,11678,34689,58969,91987,214623,58557,75856,52658
충청북도,음성군,2019,2015년 기준년가격(연쇄),7745733,928705,6817432,173612,-,4572392,19578,301912,152310,103023,86733,45978,80471,171929,512682,283136,74583,112287,129630
충청북도,음성군,2020,2015년 기준년가격(연쇄),7693577,911870,6781705,171403,-,4441716,29392,321478,211958,100201,70113,58150,95855,173351,496910,295557,75816,127049,121291
충청북도,음성군,2021,2015년 기준년가격(연쇄),8357613,918346,7436837,175885,416,4841393,28796,397186,233691,110413,71538,72325,97081,169607,556243,312885,84181,156710,133057
충청북도,단양군,2019,2015년 기준년가격(연쇄),1116303,52798,1063174,50316,44172,397478,10215,62428,24395,76757,35544,7734,18479,42787,24158,172083,13430,33805,46614
충청북도,단양군,2020,2015년 기준년가격(연쇄),1134782,57369,1076782,65544,38836,375726,16745,65868,17114,73744,23718,8721,25331,41926,24629,193213,13414,38363,41670
충청북도,단양군,2021,2015년 기준년가격(연쇄),1146820,61723,1084037,37433,41659,410558,16963,61312,18515,77861,30887,11683,30953,42340,24637,178779,13935,40580,42979
경기도,경기도,2019,2015년 기준년가격(연쇄),462288338,33760880,428540950,3318432,341055,164243433,6070008,27016066,27305452,11445464,8734605,17511717,15843002,33796894,45505003,18802927,18556361,18577532,11580099
경기도,경기도,2020,2015년 기준년가격(연쇄),470022670,33140912,436951743,3100006,296562,171457096,6994242,25566136,28137037,10314079,7625458,18865134,17043494,35788052,45684295,19621151,18452119,18811273,10439321
경기도,경기도,2021,2015년 기준년가격(연쇄),498358681,34271149,464215228,3210592,329153,187049856,7400323,25800603,28746070,10924593,7571553,19698829,18189559,36937794,48892374,20637596,19418304,20375731,10937287
